"loadings" "Annotation"
"PYRt2m" "-0.0758100886854534" "_Proliferating_Redox/OxPhosPho"
"r1464" "-0.0737030658767203" "_Proliferating_Redox/OxPhosPho"
"r0792" "-0.0736160848256465" "_Proliferating_Redox/OxPhosPho"
"MTHFR3" "-0.0736111403701955" "_Proliferating_Redox/OxPhosPho"
"RPI" "-0.073169254787948" "_Proliferating_Redox/OxPhosPho"
"H2O2syn" "-0.0720541607276595" "_Proliferating_Redox/OxPhosPho"
"r0841" "-0.071482095537342" "_Proliferating_Redox/OxPhosPho"
"GLYC3Ptmc" "-0.0714820955373419" "_Proliferating_Redox/OxPhosPho"
"GCC2cm" "-0.0705322975372974" "_Proliferating_Redox/OxPhosPho"
"GCC2am" "-0.0704219740478756" "_Proliferating_Redox/OxPhosPho"
"MDHm" "-0.0693605315284268" "_Proliferating_Redox/OxPhosPho"
"r1569" "-0.0680783792765572" "_Proliferating_Redox/OxPhosPho"
"ME1m" "0.0676141666195744" "_Ews_high"
"EX_his_L_e" "0.0678628407947146" "_Ews_high"
"r1745" "0.0690301859861617" "_Ews_high"
"HISTAtu" "0.0733112754400023" "_Ews_high"
"EX_citr_L_e" "0.0737004282700234" "_Ews_high"
"r2410" "0.0737004282700262" "_Ews_high"
"OCBTm" "0.0737004282700262" "_Ews_high"
"r0034" "0.0737004282700262" "_Ews_high"
"r1949" "0.0737004282700262" "_Ews_high"
"r2403" "0.0737004282700262" "_Ews_high"
"r1753" "0.0737004282700263" "_Ews_high"
"ADNK3" "0.0737004282700263" "_Ews_high"
"r1848" "0.0737004282700263" "_Ews_high"
"r1743" "0.0737004282700263" "_Ews_high"
"VALt4" "0.0737004282700264" "_Ews_high"
"r1935" "0.0737004282700264" "_Ews_high"
"r0157" "0.0737004282700264" "_Ews_high"
"r1705" "0.0737004282700264" "_Ews_high"
"r0086" "0.0737004282700264" "_Ews_high"
"r1846" "0.0737004282700264" "_Ews_high"
"r1850" "0.0737004282700264" "_Ews_high"
"METt4" "0.0737004642817468" "_Ews_high"
"ARGLYSex" "0.0737098612931566" "_Ews_high"
"r0398" "0.0764034270593658" "_Ews_high"
"PTCRTD" "0.0794533869273649" "_Ews_high"
"r0399" "0.080880407484612" "_Ews_high"
"r2378" "0.0854270235404733" "_Ews_high"
"r0911" "0.0866550361726102" "_Ews_high"
"r1820" "0.0868189465345597" "_Ews_high"
"P5CR" "0.0868231890286665" "_Ews_high"
"G5SADs" "0.0868231890286665" "_Ews_high"
"GLU5SAtmc" "0.0868231890286665" "_Ews_high"
"r1680" "0.0932415303495354" "_Ews_high"
"ALAt4" "0.0967467846565934" "_Ews_high"
"ACYP" "0.105189308528835" "_Ews_high"
"GTHP" "0.112335110422666" "_Ews_high"
"GLCt2_2" "-0.113084783565326" "_Proliferating_Redox/OxPhosPho"
"SPODMm" "-0.0958345510076205" "_Proliferating_Redox/OxPhosPho"
"CATm" "-0.0829472978272195" "_Proliferating_Redox/OxPhosPho"
"EX_phe_L_e" "-0.0808804074847992" "_Proliferating_Redox/OxPhosPho"
"EX_ptrc_e" "-0.0794533869273649" "_Proliferating_Redox/OxPhosPho"
"ORNDC" "-0.0794533869273649" "_Proliferating_Redox/OxPhosPho"
"PEPCK" "-0.0752108997205901" "_Proliferating_Redox/OxPhosPho"
"ABUTD" "-0.0737004282700263" "_Proliferating_Redox/OxPhosPho"
"HISDC" "-0.0699000011921853" "_Proliferating_Redox/OxPhosPho"
"EX_hista_e" "-0.0699000011921853" "_Proliferating_Redox/OxPhosPho"
"ALAASNNaEx" "-0.0678228259745053" "_Proliferating_Redox/OxPhosPho"
"VALtec" "0.0673521547646109" "_Proliferating_Redox/OxPhosPho"
"EX_pi_e" "0.0680652359013774" "_Proliferating_Redox/OxPhosPho"
"AKGMALtm" "0.0683069807037456" "_Proliferating_Redox/OxPhosPho"
"H2Ot" "0.0685476152494167" "_Proliferating_Redox/OxPhosPho"
"r1682" "0.0687575304217547" "_Proliferating_Redox/OxPhosPho"
"r0301" "0.0703455136758643" "_Proliferating_Redox/OxPhosPho"
"ATPS4m" "0.0710386335111175" "_Proliferating_Redox/OxPhosPho"
"r1651" "0.0733782935942082" "_Proliferating_Redox/OxPhosPho"
"r2389" "0.0739162937636113" "_Proliferating_Redox/OxPhosPho"
"r1836" "0.0746739105030729" "_Proliferating_Redox/OxPhosPho"
"AGTim" "0.0746739105030732" "_Proliferating_Redox/OxPhosPho"
"r1752" "0.0746739105030732" "_Proliferating_Redox/OxPhosPho"
"r1763" "0.0746739105030732" "_Proliferating_Redox/OxPhosPho"
"GLYOp" "0.0746739105030732" "_Proliferating_Redox/OxPhosPho"
"GLYtp" "0.0746739105030732" "_Proliferating_Redox/OxPhosPho"
"H2Otp" "0.0746739105030733" "_Proliferating_Redox/OxPhosPho"
"GLXtm" "0.0746739105030733" "_Proliferating_Redox/OxPhosPho"
"GTHOm" "0.0746739105030733" "_Proliferating_Redox/OxPhosPho"
"O2tp" "0.0746739105030733" "_Proliferating_Redox/OxPhosPho"
"r1807" "0.0753868678400698" "_Proliferating_Redox/OxPhosPho"
"EX_akg_e" "0.0763382914372957" "_Proliferating_Redox/OxPhosPho"
"FUMSO3tm" "0.0772962876311848" "_Proliferating_Redox/OxPhosPho"
"r0010" "0.0773908132174373" "_Proliferating_Redox/OxPhosPho"
"r1959" "0.0778387753113777" "_Proliferating_Redox/OxPhosPho"
"r1552" "0.0781348888339138" "_Proliferating_Redox/OxPhosPho"
"H2O2syn" "0.0795624565668082" "_Proliferating_Redox/OxPhosPho"
"NAt5" "0.0806097270261916" "_Proliferating_Redox/OxPhosPho"
"ADK1m" "0.0822643999217431" "_Proliferating_Redox/OxPhosPho"
"EX_chol_e" "0.0947735415215298" "_Proliferating_Redox/OxPhosPho"
"GLYBt4_2_r" "0.0947790785523578" "_Proliferating_Redox/OxPhosPho"
"r1623" "0.100068126932734" "_Proliferating_Redox/OxPhosPho"
"r1655" "0.100795009161865" "_Proliferating_Redox/OxPhosPho"
"PPA" "0.101245488038308" "_Proliferating_Redox/OxPhosPho"
"PEPCK" "0.102499507625449" "_Proliferating_Redox/OxPhosPho"
"r1698" "-0.094962917815083" "_Glucose/Hypoxia"
"GCCcm" "-0.0947801816799387" "_Glucose/Hypoxia"
"r1717" "-0.094779078552358" "_Glucose/Hypoxia"
"r1989" "-0.0947790785523579" "_Glucose/Hypoxia"
"r0413" "-0.0947790785523579" "_Glucose/Hypoxia"
"r0165" "-0.0947790785523578" "_Glucose/Hypoxia"
"r1678" "-0.0947790785523578" "_Glucose/Hypoxia"
"EX_glyb_e" "-0.0947790785523577" "_Glucose/Hypoxia"
"r1970" "-0.0947789740972315" "_Glucose/Hypoxia"
"GCCam" "-0.0947787796930411" "_Glucose/Hypoxia"
"ATPtm" "-0.0940312992637688" "_Glucose/Hypoxia"
"GF6PTA" "-0.0937124505758694" "_Glucose/Hypoxia"
"G6PDA" "-0.0937124505758693" "_Glucose/Hypoxia"
"GABAVESSEC" "-0.093290932569184" "_Glucose/Hypoxia"
"GLNS" "-0.0867104291602042" "_Glucose/Hypoxia"
"r1809" "-0.084697814879176" "_Glucose/Hypoxia"
"ADK3m" "-0.0823178835493468" "_Glucose/Hypoxia"
"CATm" "-0.081447546030673" "_Glucose/Hypoxia"
"CYOR_u10m" "-0.0775521689647722" "_Glucose/Hypoxia"
"r1595" "-0.0754706831389015" "_Glucose/Hypoxia"
"GLXtp" "-0.0746739105030733" "_Glucose/Hypoxia"
"NH4tp" "-0.0746739105030733" "_Glucose/Hypoxia"
"H2O2tp" "-0.0746739105030732" "_Glucose/Hypoxia"
"r1801" "-0.0725034254213746" "_Glucose/Hypoxia"
"NKCC2t" "-0.0703943799011284" "_Glucose/Hypoxia"
"GMPS2" "-0.0703455136757507" "_Glucose/Hypoxia"
"r1607" "-0.0687814951903623" "_Glucose/Hypoxia"
"r0801" "-0.0679028677658682" "_Glucose/Hypoxia"
"r1554" "-0.067565087897392" "_Glucose/Hypoxia"
"ACt2r" "0.0683123339109251" "_Ews_low"
"FUMSO4tm" "0.0698398504908932" "_Ews_low"
"EX_4mop_e" "0.0706741338092266" "_Ews_low"
"PDHm" "0.0721138851020538" "_Ews_low"
"CSm" "0.0728488009336307" "_Ews_low"
"r1788" "0.0762861377565681" "_Ews_low"
"r2380" "0.0773846661892056" "_Ews_low"
"FKYNH" "0.0811203033783362" "_Ews_low"
"3HKYNAKGAT" "0.0811203033783362" "_Ews_low"
"KYN3OX" "0.0811203033783362" "_Ews_low"
"r1030" "0.0811203033783362" "_Ews_low"
"EX_C02470_e" "0.0811203033783362" "_Ews_low"
"EX_arg_L_e" "0.10438867092518" "_Ews_low"
"NTD7" "-0.106560169004565" "_Redox/OxPhosPho"
"PRPPS" "-0.106513618916768" "_Redox/OxPhosPho"
"PPM" "-0.106513618916768" "_Redox/OxPhosPho"
"PUNP1" "-0.106513618916768" "_Redox/OxPhosPho"
"ADPT" "-0.106512294968653" "_Redox/OxPhosPho"
"ARGN" "-0.0956252394402385" "_Redox/OxPhosPho"
"EX_urea_e" "-0.0943578504729989" "_Redox/OxPhosPho"
"HISyLATtc" "-0.0922566936039915" "_Redox/OxPhosPho"
"r1925" "-0.0922566936039915" "_Redox/OxPhosPho"
"SERALANaEx" "-0.0922566936039915" "_Redox/OxPhosPho"
"CLFORtex" "-0.0922566936039915" "_Redox/OxPhosPho"
"ASNPHELAT2tc" "-0.0888153127298491" "_Redox/OxPhosPho"
"NAt" "-0.0851706262065073" "_Redox/OxPhosPho"
"r0647" "-0.0811203033783362" "_Redox/OxPhosPho"
"r1780" "-0.0811203033783362" "_Redox/OxPhosPho"
"r1771" "-0.0811203033783362" "_Redox/OxPhosPho"
"r1862" "-0.0811203033783362" "_Redox/OxPhosPho"
"r1892" "-0.0811203033783362" "_Redox/OxPhosPho"
"r1567" "-0.070897144860007" "_Redox/OxPhosPho"
"4MOPte" "-0.0706741338092266" "_Redox/OxPhosPho"
"r2376" "-0.0679890774782931" "_Redox/OxPhosPho"
"HCO3_NAt" "0.0758320082514543" "_Average"
"CYSGLYexR" "0.0783434169478271" "_Average"
"SUCCt4_2" "0.0817235597717697" "_Average"
"CYSGLUexR" "0.0883990035618204" "_Average"
"MALSO4tm" "0.091533484167232" "_Average"
"EX_succ_e" "-0.0817235597717697" "_Ews_high_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"CYSPHELAT2tc" "-0.0801711850458709" "_Ews_high_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"HIStiDF" "-0.0758099373947568" "_Ews_high_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"EX_nh4_e" "-0.0732544053878953" "_Ews_high_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"r0509" "0.0727556101060553" "_Proliferating_Redox/OxPhosPho"
"ALAtN1" "0.0728095020059215" "_Proliferating_Redox/OxPhosPho"
"r1668" "0.0728765908545426" "_Proliferating_Redox/OxPhosPho"
"ASNS1" "0.0730554774720499" "_Proliferating_Redox/OxPhosPho"
"r0127" "0.0731141877753542" "_Proliferating_Redox/OxPhosPho"
"GLUTCOADHm" "0.0732598571758562" "_Proliferating_Redox/OxPhosPho"
"ATPS4m" "0.0735333771997142" "_Proliferating_Redox/OxPhosPho"
"GLUPROASCT1" "0.0739002891608098" "_Proliferating_Redox/OxPhosPho"
"ACONT" "0.0742027486776413" "_Proliferating_Redox/OxPhosPho"
"r2097" "0.0754035531957041" "_Proliferating_Redox/OxPhosPho"
"TYRPHELAT2tc" "0.0754115117017665" "_Proliferating_Redox/OxPhosPho"
"HISyLATthc" "0.0759860337274887" "_Proliferating_Redox/OxPhosPho"
"r2403" "0.0760229551552421" "_Proliferating_Redox/OxPhosPho"
"r0911" "0.0760309445687387" "_Proliferating_Redox/OxPhosPho"
"VALLAT1tc" "0.0760349786424688" "_Proliferating_Redox/OxPhosPho"
"EX_so4_e" "0.0760442448385695" "_Proliferating_Redox/OxPhosPho"
"3SPYRSPm" "0.0760442448389069" "_Proliferating_Redox/OxPhosPho"
"P5CR" "0.0760442448389069" "_Proliferating_Redox/OxPhosPho"
"SULFOX" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"3SALATAim" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"r1817" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"ASNGLNNaEx" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"CYSO" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"r2385" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"r1674" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"r1685" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"r1930" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"SO4CLtex2" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"ASNTHRNaEx" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"G5SADs" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"OROTGLUt" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"GLU5SAtmc" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"DHAPtc" "0.076044244838907" "_Proliferating_Redox/OxPhosPho"
"r1735" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r1809" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r1951" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"GLYC3PFADm" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r1717" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r1734" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r1808" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r1850" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r1986" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r2416" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"r2405" "0.0760442448389071" "_Proliferating_Redox/OxPhosPho"
"ILETAm" "0.076044251290788" "_Proliferating_Redox/OxPhosPho"
"ILEt5m" "0.0760442512918591" "_Proliferating_Redox/OxPhosPho"
"SUCOAS1m" "0.0773795069546886" "_Proliferating_Redox/OxPhosPho"
"GNDc" "0.0781963670752572" "_Proliferating_Redox/OxPhosPho"
"r0830" "0.0872889968498015" "_Proliferating_Redox/OxPhosPho"
"r0829" "0.087289679313322" "_Proliferating_Redox/OxPhosPho"
"MALTSULtm" "0.0872896793133221" "_Proliferating_Redox/OxPhosPho"
"HISyLATtc" "0.0879106632713813" "_Proliferating_Redox/OxPhosPho"
"r1687" "0.0902827118523925" "_Proliferating_Redox/OxPhosPho"
"LYStiDF" "0.0933449772815935" "_Proliferating_Redox/OxPhosPho"
"r2419" "0.0963160352703185" "_Proliferating_Redox/OxPhosPho"
"r1764" "0.10830824124975" "_Proliferating_Redox/OxPhosPho"
"MALSO4tm" "-0.0963254122494293" "_Ews_low"
"MALSO3tm" "-0.0952090310666032" "_Ews_low"
"r1670" "-0.0933834002065968" "_Ews_low"
"r1665" "-0.093373080445104" "_Ews_low"
"r1669" "-0.0933581199785417" "_Ews_low"
"SUCCt2m" "-0.087442843344368" "_Ews_low"
"MALtm" "-0.0874314887265615" "_Ews_low"
"FUMTSULtm" "-0.0872896793133221" "_Ews_low"
"SUCOASm" "-0.0773332295772123" "_Ews_low"
"SO4t4_2" "-0.0760463129506575" "_Ews_low"
"GLYC3Ptmc" "-0.076044244838907" "_Ews_low"
"r0839" "-0.076044244838907" "_Ews_low"
"NH4t3r" "-0.0760442448389069" "_Ews_low"
"3SALAASPm" "-0.0760442448389068" "_Ews_low"
"SUCD1m" "-0.0737986372826624" "_Ews_low"
"r0541" "-0.0732563019378424" "_Ews_low"
"r1667" "-0.0728933801216255" "_Ews_low"
"r2097" "0.0730880263658174" "_Ews_high"
"NADH2_u10m" "0.0737314630346554" "_Ews_high"
"ACITL" "0.0742704549260952" "_Ews_high"
"EX_pyr_e" "0.074854710021093" "_Ews_high"
"PSERT" "0.0764493910604889" "_Ews_high"
"PGCD" "0.0764493910604889" "_Ews_high"
"PSP_L" "0.0764493910604889" "_Ews_high"
"G6PDH2c" "0.0779317449350344" "_Ews_high"
"LMPD_dttp_n_1_11" "0.082326697388842" "_Ews_high"
"CTPS1" "0.0824637261371964" "_Ews_high"
"r0295" "0.0827779916931841" "_Ews_high"
"r2104" "0.0841925565642551" "_Ews_high"
"PIt9" "0.0856556180368817" "_Ews_high"
"GLUDC" "0.0873327578708308" "_Ews_high"
"AACTtm" "0.0883517562562768" "_Ews_high"
"GLYATm" "0.0883517562562768" "_Ews_high"
"AOBUTDsm" "0.0883517562562769" "_Ews_high"
"AACTOOR" "0.0883517562562771" "_Ews_high"
"r2079" "0.0901366590569154" "_Ews_high"
"PYRt2r" "0.0901687087702705" "_Ews_high"
"MTHFC" "0.0940453925417783" "_Ews_high"
"FTHFDH" "0.0947825097099485" "_Ews_high"
"EX_succ_e" "0.0952811638778096" "_Ews_high"
"ME1m" "0.0987309146164875" "_Ews_high"
"FTCD" "0.0993013630549689" "_Ews_high"
"GluForTx" "0.0993013630549689" "_Ews_high"
"HISD" "0.099301363054969" "_Ews_high"
"IZPN" "0.099301363054969" "_Ews_high"
"URCN" "0.099301363054969" "_Ews_high"
"EX_nh4_e" "0.103632025071558" "_Ews_high"
"EX_h2o_e" "-0.103523648737176" "_Ews_low"
"EX_his_L_e" "-0.0993013630549689" "_Ews_low"
"SUCCt4_2" "-0.0952811638778096" "_Ews_low"
"GLYt4" "-0.0929885281747047" "_Ews_low"
"r2380" "-0.0916836907004884" "_Ews_low"
"r2101" "-0.0901366590569155" "_Ews_low"
"r2117" "-0.0901366590569155" "_Ews_low"
"r2119" "-0.0901366590569155" "_Ews_low"
"r2093" "-0.0901366590569154" "_Ews_low"
"r2095" "-0.0901366590569154" "_Ews_low"
"r2128" "-0.0901366590569154" "_Ews_low"
"r2110" "-0.0901366590569154" "_Ews_low"
"r2084" "-0.0883769532976153" "_Ews_low"
"r2094" "-0.0883769532976153" "_Ews_low"
"r2390" "-0.088011319879498" "_Ews_low"
"r2112" "-0.0876023380852513" "_Ews_low"
"r2105" "-0.0851748263513456" "_Ews_low"
"r1624" "-0.0841831474045167" "_Ews_low"
"CTPS2" "-0.0824637261373937" "_Ews_low"
"G6PDH2r" "-0.0776669856882491" "_Ews_low"
"ACACt2" "-0.0732403324827254" "_Ews_low"
"r1661" "0.0721011334853174" "_Glucose/Hypoxia"
"r1600" "0.072516951724935" "_Glucose/Hypoxia"
"r1611" "0.0725695384993333" "_Glucose/Hypoxia"
"r1654" "0.0744905030399407" "_Glucose/Hypoxia"
"r1641" "0.0749211830055712" "_Glucose/Hypoxia"
"r1637" "0.0749213007084234" "_Glucose/Hypoxia"
"r1630" "0.0752179519886171" "_Glucose/Hypoxia"
"r1629" "0.0752180495301104" "_Glucose/Hypoxia"
"r1657" "0.0752180668762237" "_Glucose/Hypoxia"
"r1549" "0.0752182256114153" "_Glucose/Hypoxia"
"r1547" "0.0752182256114154" "_Glucose/Hypoxia"
"r1573" "0.0752182256114154" "_Glucose/Hypoxia"
"r1574" "0.0752182256114154" "_Glucose/Hypoxia"
"r1586" "0.0752182256114154" "_Glucose/Hypoxia"
"r1588" "0.0752182256114154" "_Glucose/Hypoxia"
"r1597" "0.0752182256114154" "_Glucose/Hypoxia"
"r1599" "0.0752182256114154" "_Glucose/Hypoxia"
"r1635" "0.0752182256114154" "_Glucose/Hypoxia"
"r1627" "0.0752182256114154" "_Glucose/Hypoxia"
"r1648" "0.0752185448069612" "_Glucose/Hypoxia"
"r1651" "0.0764945590334543" "_Glucose/Hypoxia"
"ACSm" "0.0766106285084344" "_Glucose/Hypoxia"
"r1544" "0.0771771091674825" "_Glucose/Hypoxia"
"r1628" "0.0792055948628326" "_Glucose/Hypoxia"
"ACONT" "0.0802798586774151" "_Glucose/Hypoxia"
"r1649" "0.0813267588419916" "_Glucose/Hypoxia"
"PROt4" "0.0821176901854947" "_Glucose/Hypoxia"
"PDHm" "0.0911506050529584" "_Glucose/Hypoxia"
"r0062" "0.0958961826681848" "_Glucose/Hypoxia"
"SERt4" "0.10137577294946" "_Glucose/Hypoxia"
"THRGLYexR" "0.102744817206615" "_Glucose/Hypoxia"
"VALPHELAT2tc" "0.104047317031031" "_Glucose/Hypoxia"
"LEUyLAThtc" "0.105685300898112" "_Glucose/Hypoxia"
"r0191" "0.113258260828345" "_Glucose/Hypoxia"
"EX_for_e" "0.113258260828346" "_Glucose/Hypoxia"
"ALAGLNNaEx" "0.126257431999505" "_Glucose/Hypoxia"
"SERGLNNaEx" "0.138949212791742" "_Glucose/Hypoxia"
"r1147" "-0.0796094440210666" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"UMPK3" "-0.0775587906130877" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"r1557" "-0.0764194454288652" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"r1595" "-0.0743739058085971" "_Proliferating_Glucose/Hypoxia_Redox/OxPhosPho"
"r1581" "0.0734699231624418" "_Ews_low"
"G6PDH2r" "0.0736303232574919" "_Ews_low"
"AKGMALtm" "0.0738850488748445" "_Ews_low"
"r2391" "0.0744813130920658" "_Ews_low"
"CYSSERNaEx" "0.0744813130920658" "_Ews_low"
"CYSALANaEx" "0.0744813130920659" "_Ews_low"
"NCCt" "0.074481313092066" "_Ews_low"
"ARGt4" "0.0744901114493066" "_Ews_low"
"GLNyLATthc" "0.0745064086712639" "_Ews_low"
"PHEyLATthc" "0.0745596561126741" "_Ews_low"
"VALt4" "0.0747562527614094" "_Ews_low"
"FUMTSULtm" "0.0757030181234592" "_Ews_low"
"SUCCt2m" "0.075901134438047" "_Ews_low"
"r1560" "0.0776595343760372" "_Ews_low"
"ARGtiDF" "0.0792163276492237" "_Ews_low"
"r1602" "0.0816520074569812" "_Ews_low"
"HISCAT1" "0.0907077803753505" "_Ews_low"
"r2390" "0.0996014447218551" "_Ews_low"
"GLYt4" "0.106082892864559" "_Ews_low"
"HIStiDF" "0.113041539757107" "_Ews_low"
"r1493" "0.113536638469246" "_Ews_low"
"r1583" "0.114025006363512" "_Ews_low"
"ACt2r" "0.133057928041723" "_Ews_low"
"ABUTD" "0.13314859022655" "_Ews_low"
"PTRCOX1" "0.133148590226551" "_Ews_low"
"FUMSO3tm" "0.143886552643618" "_Ews_low"
"r0157" "-0.13314859022655" "_Proliferating"
"r0086" "-0.13314859022655" "_Proliferating"
"EX_ac_e" "-0.125604586711213" "_Proliferating"
"r1655" "-0.103656006895016" "_Proliferating"
"OAADC" "-0.0936338969456658" "_Proliferating"
"SERTHRNaEx" "-0.0884618738225902" "_Proliferating"
"PHEtec" "-0.0873739376827861" "_Proliferating"
"ALAASNNaEx" "-0.0870517762733045" "_Proliferating"
"r0913" "-0.0863088233225226" "_Proliferating"
"GLU5Km" "-0.0857622668883822" "_Proliferating"
"G5SDym" "-0.0857622668883821" "_Proliferating"
"FUMtm" "-0.0834271664182947" "_Proliferating"
"LEUt4" "-0.0789311061379473" "_Proliferating"
"r0830" "-0.0757034830624343" "_Proliferating"
"MALTSULtm" "-0.0757030181234591" "_Proliferating"
"r0829" "-0.0757030181234591" "_Proliferating"
"r2532" "-0.0753504184612469" "_Proliferating"
"G6PDH2c" "-0.0740438370390866" "_Proliferating"
"FBP" "-0.0732781836554776" "_Proliferating"
"r1567" "-0.0726093293266266" "_Proliferating"
"r1698" "0.0722753840645363" "_Ews_high"
